YY,MM,RR
1963,5,-3.4622641509
1963,6,0.1377358491
1963,6,5.1377358491
1963,6,32.6377358491
1963,6,5.9377358491
1963,6,133.7377358491
1963,6,175.3377358491
1963,6,106.7377358491
1963,6,141.0377358491
1963,6,-2.4622641509
1963,6,-3.1622641509
1963,6,-3.9622641509
1963,6,5.4377358491
1963,6,22.9377358491
1963,6,7.4377358491
1963,6,28.8377358491
1963,6,9.0377358491
1963,6,24.4377358491
1963,6,4.9377358491
1963,6,-0.3622641509
1963,6,9.5377358491
1963,6,3.1377358491
1963,6,-0.9622641509
1963,6,1.1377358491
1963,6,2.9377358491
1963,6,-3.9622641509
1963,6,10.5377358491
1963,6,30.5377358491
1963,6,214.9377358491
1963,6,-3.6622641509
1963,6,15.6377358491
1963,7,5.4377358491
1963,7,-1.9622641509
1963,7,3.6377358491
1963,7,-0.6622641509
1963,7,3.1377358491
1963,7,2.6377358491
1963,7,3.4377358491
1963,7,5.4377358491
1963,7,4.6377358491
1963,7,11.5377358491
1963,7,-1.9622641509
1963,7,-3.9622641509
1963,7,4.6377358491
1963,7,10.5377358491
1963,7,74.0377358491
1963,7,13.5377358491
1963,7,12.0377358491
1963,7,-3.6622641509
1963,7,14.8377358491
1963,7,115.9377358491
1963,7,-3.1622641509
1963,7,2.6377358491
1963,7,5.7377358491
1963,7,54.9377358491
1963,7,18.1377358491
1963,7,12.3377358491
1963,7,-0.3622641509
1963,7,1.6377358491
1963,7,4.4377358491
1963,7,-2.9622641509
1963,7,0.3377358491
1963,8,-1.1622641509
1963,8,18.6377358491
1963,8,7.4377358491
1963,8,-0.9622641509
1963,8,-3.6622641509
1963,8,4.6377358491
1963,8,13.8377358491
1963,8,2.6377358491
1963,8,0.1377358491
1963,8,-1.4622641509
1963,8,-3.4622641509
1963,8,3.6377358491
1963,8,-2.4622641509
1963,8,96.8377358491
1963,8,0.3377358491
1963,8,-3.9622641509
1963,8,-2.6622641509
1963,8,4.6377358491
1963,8,-1.9622641509
1963,8,-3.6622641509
1963,8,-0.6622641509
1963,8,-3.1622641509
1963,8,28.8377358491
1963,8,19.4377358491
1963,8,9.0377358491
1963,8,19.1377358491
1963,8,16.3377358491
1963,8,-2.4622641509
1963,8,0.1377358491
1963,8,31.6377358491
1963,8,15.3377358491
1963,9,0.1377358491
1963,9,15.8377358491
1963,9,16.3377358491
1963,9,3.6377358491
1963,9,66.4377358491
1963,9,32.6377358491
1963,9,49.3377358491
1963,9,118.7377358491
1963,9,315.5377358491
1963,9,165.2377358491
1963,9,249.7377358491
1963,9,105.2377358491
1963,9,45.0377358491
1963,9,10.0377358491
1963,9,9.0377358491
1963,9,-3.9622641509
1963,9,22.2377358491
1963,9,0.1377358491
1963,9,-3.9622641509
1963,9,15.8377358491
1963,9,-3.9622641509
1963,9,-3.9622641509
1963,9,15.3377358491
1963,9,12.5377358491
